Score: 56, seed: final-3, avg: 56.0, std: 0.0
Score: 56, seed: final-0, avg: 56.0, std: 0.0
Score: 62, seed: final-5, avg: 58.0, std: 2.8
Score: 57, seed: final-2, avg: 57.8, std: 2.5
Score: 65, seed: final-1, avg: 59.2, std: 3.7
Score: 59, seed: final-4, avg: 59.2, std: 3.3
Score: 60, seed: final-6, avg: 59.3, std: 3.1
Score: 61, seed: final-11, avg: 59.5, std: 3.0
Score: 54, seed: final-9, avg: 58.9, std: 3.3
Score: 61, seed: final-8, avg: 59.1, std: 3.2
Score: 51, seed: final-7, avg: 58.4, std: 3.8
Score: 53, seed: final-10, avg: 57.9, std: 3.9
Score: 61, seed: final-12, avg: 58.2, std: 3.9
Score: 58, seed: final-14, avg: 58.1, std: 3.7
Score: 62, seed: final-15, avg: 58.4, std: 3.7
Score: 60, seed: final-17, avg: 58.5, std: 3.6
Score: 53, seed: final-13, avg: 58.2, std: 3.8
Score: 55, seed: final-16, avg: 58.0, std: 3.7
Score: 59, seed: final-18, avg: 58.1, std: 3.6
Score: 54, seed: final-20, avg: 57.9, std: 3.7
Score: 57, seed: final-21, avg: 57.8, std: 3.6
Score: 51, seed: final-19, avg: 57.5, std: 3.8
Score: 63, seed: final-23, avg: 57.7, std: 3.8
Score: 66, seed: final-26, avg: 58.1, std: 4.1
Score: 60, seed: final-24, avg: 58.2, std: 4.0
Score: 55, seed: final-22, avg: 58.0, std: 4.0
Score: 57, seed: final-27, avg: 58.0, std: 3.9
Score: 65, seed: final-25, avg: 58.3, std: 4.1
Score: 60, seed: final-29, avg: 58.3, std: 4.0
Score: 61, seed: final-32, avg: 58.4, std: 4.0
Score: 52, seed: final-30, avg: 58.2, std: 4.1
Score: 57, seed: final-28, avg: 58.2, std: 4.0
Score: 57, seed: final-33, avg: 58.1, std: 4.0
Score: 58, seed: final-31, avg: 58.1, std: 3.9
Score: 47, seed: final-35, avg: 57.8, std: 4.3
Score: 59, seed: final-36, avg: 57.8, std: 4.2
Score: 54, seed: final-38, avg: 57.7, std: 4.2
Score: 55, seed: final-34, avg: 57.7, std: 4.2
Score: 55, seed: final-37, avg: 57.6, std: 4.1
Score: 64, seed: final-39, avg: 57.8, std: 4.2
Score: 59, seed: final-41, avg: 57.8, std: 4.2
Score: 58, seed: final-42, avg: 57.8, std: 4.1
Score: 49, seed: final-44, avg: 57.6, std: 4.3
Score: 59, seed: final-40, avg: 57.6, std: 4.2
Score: 59, seed: final-43, avg: 57.6, std: 4.2
Score: 55, seed: final-45, avg: 57.6, std: 4.2
Score: 68, seed: final-48, avg: 57.8, std: 4.4
Score: 64, seed: final-50, avg: 57.9, std: 4.4
Score: 53, seed: final-47, avg: 57.8, std: 4.4
Score: 56, seed: final-46, avg: 57.8, std: 4.4
Score: 64, seed: final-54, avg: 57.9, std: 4.4
Score: 65, seed: final-51, avg: 58.1, std: 4.5
Score: 65, seed: final-56, avg: 58.2, std: 4.6
